1.	218867
2.	152538
3.	121261
4.	93809
5.	73646
6.	54682
7.	33983
8.	33927
9.	31503
10.	29008
11.	28995
12.	28983
13.	28950
14.	28912
15.	28889
16.	28860
17.	28698
18.	28649
19.	28639
20.	28632
21.	26520
22.	24409
23.	23990
24.	23946
25.	21823
26.	17776
27.	16040
28.	16021
29.	16019
30.	16012
31.	15909
32.	15856
33.	15805
34.	15771
35.	14238
36.	14058
37.	12669
38.	12425
39.	12397
40.	12392
41.	12390
42.	12381
43.	11041
44.	8118
45.	7020
46.	6919
47.	4088
48.	2439
49.	2434
50.	1530
51.	1435
52.	1386
53.	1369
54.	1360
55.	1118
56.	1101
57.	935
58.	919
59.	905
60.	897
61.	894
62.	682
63.	456
64.	456
65.	401
66.	373
67.	228
68.	218
69.	216
70.	181
71.	70
