1.	3477534
2.	968665
3.	852380
4.	522922
5.	478914
6.	471349
7.	366615
8.	352096
9.	342542
10.	329778
11.	318907
12.	308035
13.	297916
14.	293977
15.	286677
16.	261883
17.	243689
18.	241809
19.	236801
20.	228657
21.	227020
22.	224676
23.	220813
24.	218676
25.	217248
26.	216526
27.	211595
28.	206876
29.	205158
30.	205088
31.	204154
32.	204019
33.	203460
34.	200372
35.	196738
36.	196188
37.	193739
38.	193361
39.	189863
40.	188340
41.	187286
42.	186346
43.	185361
44.	180841
45.	179121
46.	177766
47.	177426
48.	172572
49.	172562
50.	170804
51.	170171
52.	169872
53.	169439
54.	168157
55.	167563
56.	166910
57.	165562
58.	163680
59.	163168
60.	162062
61.	160491
62.	157479
63.	156947
64.	156615
65.	156352
66.	155618
67.	155271
68.	153637
69.	150088
70.	149851
71.	148178
72.	147771
73.	147674
74.	147193
75.	147097
76.	146866
77.	145270
78.	144430
79.	144405
80.	144338
81.	143842
82.	141342
83.	141127
84.	141054
85.	140961
86.	140652
87.	140504
88.	139605
89.	139597
90.	139366
91.	137920
92.	136713
93.	136627
94.	134742
95.	134647
96.	134506
97.	133926
98.	132998
99.	132619
100.	132114
101.	131980
102.	131029
103.	130957
104.	130641
105.	129511
106.	129340
107.	128559
108.	127649
109.	127096
110.	126630
111.	126274
112.	126090
113.	125952
114.	125890
115.	125242
116.	124552
117.	124102
118.	123453
119.	123333
120.	123304
121.	121609
122.	121397
123.	120527
124.	120484
125.	120178
126.	119586
127.	119163
128.	118812
129.	118228
130.	117776
131.	115410
132.	115296
133.	113556
134.	112604
135.	111399
136.	111042
137.	110430
138.	110082
139.	109422
140.	109365
141.	109364
142.	109345
143.	108973
144.	108772
145.	108018
146.	107952
147.	107922
148.	107702
149.	107186
150.	107140
151.	106355
152.	106269
153.	106140
154.	105916
155.	105222
156.	104493
157.	104278
158.	103923
159.	103865
160.	103344
161.	102998
162.	102638
163.	102621
164.	102543
165.	101610
166.	101342
167.	100481
168.	100225
